City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
341,Victoria,HK,73.0,scattered clouds,22.29,114.16,Mini Hotel Central
348,Antalaha,MG,72.91,light rain,-14.9,50.28,Hotel Vitasoa
359,Guerrero Negro,MX,68.83,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
360,Talcahuano,CL,68.0,few clouds,-36.72,-73.12,Hotel Terramar
369,Gat,IL,64.99,overcast clouds,31.61,34.76,OlusHome
371,Bloemfontein,ZA,64.4,clear sky,-29.12,26.21,Protea Hotel by Marriott Bloemfontein
372,Kruisfontein,ZA,61.0,scattered clouds,-34.0,24.73,Oyster Bay House Rental
373,Naze,JP,69.8,few clouds,28.37,129.48,奄美ポートタワーホテル
396,Najran,SA,66.2,clear sky,17.49,44.13,محمد هادي ال فطيح
399,Lampang,TH,69.66,clear sky,18.33,99.5,Mrs Luis Guest House
403,Jieshi,CN,68.5,clear sky,22.81,115.83,Yuehai Hotel
404,Kabinda,CD,67.86,overcast clouds,-6.13,24.48,Village Mianda Mutole
406,Geraldton,AU,68.0,clear sky,-28.77,114.6,Broadwater Mariner Resort
413,Sidlaghatta,IN,68.0,mist,13.39,77.86,Sri Venkateshwara Wood Carving works
422,Chimbote,PE,68.67,scattered clouds,-9.09,-78.58,Hotel Briliá
424,Metro,ID,74.62,light rain,-5.11,105.31,OYO 3177 Wisma Lintang
429,Vao,NC,74.3,clear sky,-22.67,167.48,Hotel Kou-Bugny
440,Sampit,ID,74.16,overcast clouds,-2.53,112.95,Aquarius Boutique Hotel Sampit
444,Kyaukse,MM,67.68,broken clouds,21.6,96.13,Tein Phyu Hlwar
450,Maneadero,MX,62.01,clear sky,31.72,-116.57,Casa De Thompson
468,Kokoda,PG,72.59,overcast clouds,-8.88,147.74,Daito Guest House
475,Lefka,CY,62.6,few clouds,35.11,32.85,Direk Hotel
486,Foumbot,CM,69.28,overcast clouds,5.51,10.64,Fanta Coin Snack- Bar Auberge
490,Dargaville,NZ,65.35,light rain,-35.93,173.88,Parkview Motel
498,Atocha,BO,69.6,overcast clouds,-20.93,-66.23,hotel paseo madrid
518,Pouembout,NC,72.46,overcast clouds,-21.13,164.9,Camping de Tipenga
521,Barra Da Estiva,BR,73.44,scattered clouds,-13.63,-41.33,Hotel Santa Rita
524,Vittoria,IT,60.8,few clouds,36.95,14.53,La casa di Jo
529,Victor Harbor,AU,62.01,clear sky,-35.57,138.62,Apollon Motor Inn
533,Stephenville,US,73.0,overcast clouds,32.22,-98.2,La Quinta Inn & Suites by Wyndham Stephenville
545,Bhatapara,IN,62.13,overcast clouds,21.73,81.93,THE BABBU PARADISE
563,Tabuk,PH,69.01,clear sky,17.42,121.44,Grand Zion Garden Resort Hotel
565,Phonhong,LA,72.54,broken clouds,18.5,102.42,Napakuang Resort
566,Ca Mau,VN,74.64,light rain,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
571,Moree,AU,68.0,clear sky,-29.47,149.85,Molika Springs Motel
572,Rincon,US,66.99,few clouds,32.3,-81.24,Bent tree subdivision
577,Makokou,GA,72.34,clear sky,0.57,12.86,WAMY RESIDENCE HOTEL
578,Antofagasta,CL,69.01,broken clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
590,Loa Janan,ID,73.92,overcast clouds,-0.58,117.09,Asrama Polisi Polsek Loajanan Res Kukar
604,Half Moon Bay,US,60.01,mist,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
607,Gresham Park,US,60.01,broken clouds,33.7,-84.31,"Americas Best Value Inn Decatur, GA"
633,Colares,PT,62.01,scattered clouds,38.8,-9.45,Arribas Sintra Hotel
639,Orange,US,66.0,few clouds,33.7,-117.77,La Quinta Inn & Suites by Wyndham Irvine Spectrum
644,Reitz,ZA,63.14,clear sky,-27.8,28.43,The Lillies Guesthouse
650,Olavarria,AR,64.99,light rain,-36.89,-60.32,Hotel Santa Rosa
653,Talkha,EG,62.51,clear sky,31.05,31.38,Almadiafah
662,Sawang Daen Din,TH,72.0,clear sky,17.48,103.46,บ้านเจเน็ต คอมพิวเตอร์
666,Comodoro Rivadavia,AR,68.0,broken clouds,-45.87,-67.5,Austral Hotel
670,Harur,IN,70.36,overcast clouds,12.07,78.5,sangil roadways
676,Ocampo,MX,70.88,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
680,Benjamin Hill,MX,72.0,clear sky,30.17,-111.1,Luis Guillermo García Medina
683,Odweyne,SO,68.5,broken clouds,9.41,45.06,Eng Hiirey House
691,Margherita,IN,60.21,clear sky,27.28,95.68,Dehing Guest House
